Client: 2, nsmp=100, del=125000
Sample 70, client 0, delivery time: 105
Sample 71, client 0, delivery time: 105
Sample 72, client 0, delivery time: 105
Sample 73, client 0, delivery time: 104
Sample 74, client 0, delivery time: 105
Sample 75, client 0, delivery time: 105
Sample 76, client 0, delivery time: 105
Sample 77, client 0, delivery time: 192
Sample 52, client 2, delivery time: 169
Sample 53, client 2, delivery time: 145
Sample 54, client 2, delivery time: 145
Sample 55, client 2, delivery time: 145
Sample 56, client 2, delivery time: 144
Sample 57, client 2, delivery time: 147
Sample 58, client 2, delivery time: 146
Sample 59, client 2, delivery time: 145
Sample 60, client 2, delivery time: 143
Sample 61, client 2, delivery time: 144
Sample 62, client 2, delivery time: 144
Sample 63, client 2, delivery time: 144
Sample 64, client 2, delivery time: 143
Sample 65, client 2, delivery time: 148
Sample 66, client 2, delivery time: 146
Sample 67, client 2, delivery time: 146
Sample 68, client 2, delivery time: 145
Sample 69, client 2, delivery time: 144
Sample 70, client 2, delivery time: 145
Sample 71, client 2, delivery time: 145
Sample 72, client 2, delivery time: 144
Sample 73, client 2, delivery time: 143
Sample 74, client 2, delivery time: 144
Sample 75, client 2, delivery time: 144
Sample 76, client 2, delivery time: 144
Sample 77, client 2, delivery time: 64
Sample 53, client 1, delivery time: 63
Sample 54, client 1, delivery time: 63
Sample 55, client 1, delivery time: 63
Sample 56, client 1, delivery time: 63
Sample 57, client 1, delivery time: 64
Sample 58, client 1, delivery time: 63
Sample 59, client 1, delivery time: 63
Sample 60, client 1, delivery time: 62
Sample 61, client 1, delivery time: 63
Sample 62, client 1, delivery time: 63
Sample 63, client 1, delivery time: 62
Sample 64, client 1, delivery time: 62
Sample 65, client 1, delivery time: 65
Sample 66, client 1, delivery time: 64
Sample 67, client 1, delivery time: 64
Sample 68, client 1, delivery time: 64
Sample 69, client 1, delivery time: 63
Sample 70, client 1, delivery time: 63
Sample 71, client 1, delivery time: 64
Sample 72, client 1, delivery time: 63
Sample 73, client 1, delivery time: 62
Sample 74, client 1, delivery time: 63
Sample 75, client 1, delivery time: 63
Sample 76, client 1, delivery time: 63
Sample 77, client 1, delivery time: 64
Sample 78, client 1, delivery time: 64
Sample 79, client 1, delivery time: 63
Sample 80, client 1, delivery time: 63
Sample 81, client 1, delivery time: 63
Sample 82, client 1, delivery time: 63
Sample 83, client 1, delivery time: 64
Sample 84, client 1, delivery time: 64
Sample 85, client 1, delivery time: 64
Sample 86, client 1, delivery time: 66
Sample 87, client 1, delivery time: 64
Sample 88, client 1, delivery time: 63
Sample 89, client 1, delivery time: 64
Sample 90, client 1, delivery time: 64
Sample 91, client 1, delivery time: 63
Sample 92, client 1, delivery time: 64
Sample 93, client 1, delivery time: 65
Sample 94, client 1, delivery time: 63
Sample 95, client 1, delivery time: 64
Sample 96, client 1, delivery time: 64
Sample 97, client 1, delivery time: 63
Sample 98, client 1, delivery time: 63
Sample 99, client 1, delivery time: 63
105
Sample 78, client 0, delivery time: 107
Sample 79, client 0, delivery time: 127
Sample 80, client 0, delivery time: 106
Sample 81, client 0, delivery time: 105
Sample 82, client 0, delivery time: 105
Sample 83, client 0, delivery time: 106
Sample 84, client 0, delivery time: 106
Sample 85, client 0, delivery time: 106
Sample 86, client 0, delivery time: 109
Sample 87, client 0, delivery time: 106
Sample 88, client 0, delivery time: 105
Sample 89, client 0, delivery time: 106
Sample 90, client 0, delivery time: 105
Sample 91, client 0, delivery time: 105
Sample 92, client 0, delivery time: 106
Sample 93, client 0, delivery time: 108
Sample 94, client 0, delivery time: 107
Sample 95, client 0, delivery time: 125
Sample 96, client 0, delivery time: 107
Sample 97, client 0, delivery time: 105
Sample 98, client 0, delivery time: 105
Sample 99, client 0, delivery time: 105
167
Sample 78, client 2, delivery time: 147
Sample 79, client 2, delivery time: 167
Sample 80, client 2, delivery time: 146
Sample 81, client 2, delivery time: 144
Sample 82, client 2, delivery time: 144
Sample 83, client 2, delivery time: 147
Sample 84, client 2, delivery time: 145
Sample 85, client 2, delivery time: 145
Sample 86, client 2, delivery time: 148
Sample 87, client 2, delivery time: 145
Sample 88, client 2, delivery time: 144
Sample 89, client 2, delivery time: 145
Sample 90, client 2, delivery time: 145
Sample 91, client 2, delivery time: 144
Sample 92, client 2, delivery time: 146
Sample 93, client 2, delivery time: 183
Sample 94, client 2, delivery time: 147
Sample 95, client 2, delivery time: 166
Sample 96, client 2, delivery time: 146
Sample 97, client 2, delivery time: 144
Sample 98, client 2, delivery time: 145
Sample 99, client 2, delivery time: 144
waiting for children
